,0
0,-53913.33333333334
1,-54761.0
2,-51028.83333333334
3,-55116.0
4,-50459.999999999985
5,-48848.0
6,-52194.0
7,-49833.333333333314
8,-50083.666666666686
9,-50570.5
10,-43982.66666666666
11,-51346.5
12,-51263.16666666665
13,-46994.33333333335
14,-49757.16666666667
15,-50374.333333333336
16,-44175.16666666665
17,-53225.33333333335
18,-48071.999999999985
19,-49359.16666666665
20,-49527.66666666666
21,-49339.49999999999
22,-51026.16666666668
23,-50121.66666666666
24,-48665.66666666667
25,-50873.16666666667
26,-49116.5
27,-49158.49999999999
28,-52737.166666666664
29,-51388.83333333333
30,-50521.50000000001
31,-48865.666666666664
32,-47792.333333333336
33,-46424.99999999998
34,-48787.666666666686
35,-50969.500000000015
36,-48481.0
37,-50339.66666666668
38,-50516.50000000001
39,-45832.50000000003
40,-50838.33333333334
41,-51954.000000000015
42,-47185.16666666667
43,-50197.83333333332
44,-50494.83333333332
45,-49401.83333333333
46,-51242.33333333334
47,-50754.83333333334
48,-44705.49999999999
49,-47412.66666666663
50,-51265.83333333333
51,-50206.499999999985
52,-47380.16666666668
53,-48792.49999999999
54,-45792.83333333333
55,-47248.83333333334
56,-48187.50000000001
57,-52840.16666666666
58,-48110.833333333314
59,-47020.5
60,-49041.83333333335
61,-53356.66666666668
62,-50653.83333333334
63,-53482.66666666666
64,-48356.0
65,-52977.66666666665
66,-53937.00000000001
67,-48344.166666666664
68,-50794.999999999985
69,-52747.333333333336
70,-49597.166666666686
71,-46249.66666666667
72,-50288.00000000001
73,-52786.66666666667
74,-49465.83333333333
75,-50170.66666666666
76,-49643.49999999999
77,-53360.0
78,-50903.66666666667
79,-48188.833333333336
80,-52015.49999999997
81,-54025.166666666664
82,-52696.16666666666
83,-50898.00000000002
84,-50383.83333333333
85,-52866.66666666664
86,-51479.166666666664
87,-54402.16666666665
88,-52659.833333333314
89,-47052.99999999999
90,-50304.16666666666
91,-53252.49999999999
92,-54023.66666666667
93,-48338.83333333332
94,-51845.83333333334
95,-50623.66666666668
96,-54542.83333333332
97,-50371.16666666666
98,-54835.33333333332
99,-50286.49999999999
100,-54786.33333333334
101,-49819.833333333314
102,-48694.99999999999
103,-56142.33333333333
104,-55278.83333333333
105,-52804.16666666667
106,-53623.666666666664
107,-54150.49999999999
108,-50087.999999999985
109,-54718.99999999999
110,-53969.666666666664
111,-55890.49999999998
112,-53149.16666666665
113,-53578.33333333333
114,-54372.833333333336
115,-54841.499999999985
116,-52177.16666666666
117,-54278.5
118,-52083.66666666664
119,-47330.999999999985
120,-49030.66666666667
121,-52634.66666666666
122,-52408.16666666666
123,-50446.5
124,-53289.999999999985
125,-50723.16666666666
126,-50652.833333333336
127,-52173.49999999999
128,-51613.99999999999
129,-49739.49999999998
130,-51997.99999999998
131,-51771.16666666665
132,-48828.16666666666
133,-52542.833333333336
134,-51935.16666666664
135,-53164.16666666664
136,-52396.166666666664
137,-52371.50000000001
138,-53223.0
139,-53152.833333333314
140,-54611.333333333336
141,-51200.333333333314
142,-56431.499999999985
143,-52566.99999999997
144,-53812.5
145,-56935.16666666664
146,-54806.166666666635
147,-55813.83333333332
148,-53809.66666666665
149,-51591.99999999998
150,-54566.49999999998
151,-54211.33333333332
152,-54669.16666666665
153,-56251.8333333333
154,-54534.83333333333
155,-53182.49999999998
156,-50145.166666666664
157,-56598.833333333314
158,-54280.66666666666
159,-53725.33333333333
160,-52740.666666666664
161,-55166.49999999999
162,-54080.99999999997
163,-51565.66666666665
164,-54004.16666666663
165,-54365.66666666667
166,-56061.99999999998
167,-53957.83333333331
168,-51583.00000000001
169,-55787.16666666666
170,-54023.5
171,-54705.66666666664
172,-48498.666666666664
173,-49353.66666666666
174,-53839.99999999999
175,-55466.33333333333
176,-52621.99999999998
177,-52260.0
178,-55474.166666666664
179,-52421.666666666664
180,-53759.49999999999
181,-55696.333333333336
182,-54454.833333333314
183,-51968.5
184,-55270.333333333314
185,-52267.833333333314
186,-51709.66666666666
187,-51355.66666666667
188,-53996.83333333333
189,-54633.83333333332
190,-53538.66666666664
191,-52516.66666666665
192,-53847.16666666665
193,-55981.49999999999
194,-52926.16666666666
195,-50791.833333333314
196,-53060.666666666664
197,-52073.16666666665
198,-54126.666666666635
199,-48698.50000000001
200,-53359.499999999985
201,-54148.666666666664
202,-51929.999999999985
203,-50972.33333333334
204,-54463.499999999985
205,-49064.5
206,-51076.833333333314
207,-53529.166666666664
208,-53252.0
209,-49215.99999999999
210,-55364.83333333332
211,-50852.83333333332
212,-51222.66666666667
213,-51627.16666666666
214,-50162.166666666664
215,-50969.999999999985
216,-54809.999999999985
217,-50490.16666666665
218,-52098.333333333336
219,-52411.49999999998
220,-49011.666666666664
221,-48906.83333333333
222,-51647.66666666668
223,-48193.166666666635
224,-53574.166666666635
225,-51915.0
226,-52703.99999999998
227,-52583.49999999999
228,-53843.49999999997
229,-51519.833333333314
230,-53048.99999999998
231,-53273.66666666665
232,-55320.99999999997
233,-51007.33333333332
234,-47468.333333333336
235,-52428.499999999985
236,-48811.66666666664
237,-50302.49999999998
238,-55350.833333333314
239,-51935.49999999999
240,-51511.500000000015
241,-51430.666666666635
242,-51981.3333333333
243,-51193.66666666666
244,-50339.33333333332
245,-54503.333333333314
246,-56558.99999999997
247,-53386.33333333331
248,-55059.333333333314
249,-47566.5
250,-53685.16666666663
251,-53809.66666666664
252,-52762.833333333314
253,-53594.16666666664
254,-54114.16666666663
255,-52654.166666666664
256,-53568.16666666665
257,-52836.99999999997
258,-46929.16666666665
259,-53733.33333333331
260,-49313.83333333331
261,-53928.16666666666
262,-54708.16666666665
263,-53692.33333333331
264,-48022.833333333314
265,-51255.499999999956
266,-51646.99999999998
267,-52811.333333333314
268,-52596.999999999985
269,-53302.16666666665
270,-53794.49999999998
271,-50538.83333333332
272,-53206.99999999996
273,-54734.83333333331
274,-53577.83333333331
275,-54666.16666666662
276,-54534.333333333314
277,-54368.49999999997
278,-52758.16666666665
279,-52709.66666666664
280,-53523.66666666666
281,-54189.49999999996
282,-52724.3333333333
283,-53438.16666666664
284,-54238.33333333329
285,-54219.8333333333
286,-53346.33333333333
287,-52273.49999999998
288,-55119.49999999996
289,-51192.16666666666
290,-55449.49999999996
291,-54285.16666666665
292,-53059.99999999997
293,-54089.99999999997
294,-52953.3333333333
295,-53992.3333333333
296,-52827.99999999997
297,-54012.66666666664
298,-52562.999999999985
299,-55575.33333333331
300,-53654.166666666635
301,-54005.66666666665
302,-53355.49999999997
303,-52286.83333333331
304,-55546.33333333331
305,-53511.33333333331
306,-53460.333333333336
307,-53322.99999999998
308,-50685.16666666665
309,-54083.83333333332
310,-52566.33333333331
311,-53111.8333333333
312,-53420.999999999985
313,-49300.3333333333
314,-53580.66666666664
315,-52350.666666666635
316,-52414.66666666666
317,-50077.49999999999
318,-54557.99999999998
319,-51624.499999999985
320,-55917.66666666665
321,-54264.33333333332
322,-50819.49999999998
323,-54888.83333333332
324,-55527.5
325,-50077.66666666666
326,-48712.49999999997
327,-49253.33333333331
328,-55467.499999999985
329,-53668.49999999999
330,-53076.33333333331
331,-52526.8333333333
332,-54119.99999999997
333,-52576.99999999997
334,-53047.66666666665
335,-53001.16666666665
336,-52490.83333333331
337,-54237.99999999998
338,-55112.99999999997
339,-53114.499999999985
340,-55604.166666666664
341,-54172.33333333329
342,-54793.33333333333
343,-53158.66666666663
344,-53634.99999999996
345,-53920.83333333331
346,-55301.8333333333
347,-53045.166666666635
348,-52758.166666666635
349,-50454.00000000001
350,-52899.499999999985
351,-50590.49999999999
352,-53209.99999999996
353,-55501.833333333314
354,-52703.16666666664
355,-51188.499999999985
356,-53933.16666666666
357,-55473.83333333332
358,-50991.833333333336
359,-54039.33333333332
360,-53623.50000000001
361,-51694.99999999997
362,-54804.66666666664
363,-55665.99999999997
364,-53745.833333333314
365,-53205.16666666664
366,-54652.166666666664
367,-53132.83333333332
368,-51030.83333333333
369,-53910.83333333332
370,-52745.99999999998
371,-55251.99999999999
372,-54275.16666666666
373,-50081.666666666635
374,-55575.833333333314
375,-53830.66666666664
376,-51637.33333333331
377,-52430.33333333332
378,-53446.0
379,-51713.333333333336
380,-52928.83333333332
381,-54357.333333333336
382,-51490.833333333314
383,-52165.66666666666
384,-50328.499999999985
385,-57037.833333333314
386,-54182.49999999998
387,-52793.49999999999
388,-53429.999999999985
389,-52118.33333333335
390,-55555.499999999985
391,-48342.99999999999
392,-51758.66666666666
393,-50246.33333333333
394,-54420.16666666664
395,-54240.49999999997
396,-53527.16666666665
397,-51344.999999999985
398,-46394.49999999998
399,-54730.83333333331
400,-53337.16666666665
401,-53606.66666666666
402,-52355.83333333332
403,-54461.33333333333
404,-51675.499999999985
405,-52348.99999999998
406,-49990.33333333332
407,-50154.66666666667
408,-55380.66666666664
409,-52415.66666666667
410,-53301.33333333331
411,-52379.83333333331
412,-49136.99999999998
413,-54633.16666666666
414,-51579.49999999999
415,-50056.83333333332
416,-52768.833333333314
417,-48338.66666666667
418,-52879.99999999999
