,0
0,-44852.333333333336
1,-42292.16666666667
2,-41324.50000000001
3,-43104.5
4,-40129.16666666668
5,-43291.833333333336
6,-43749.166666666664
7,-45118.16666666665
8,-41726.49999999999
9,-44868.333333333314
10,-41896.0
11,-39611.83333333334
12,-44142.99999999996
13,-43290.666666666664
14,-41630.33333333332
15,-43300.66666666667
16,-43254.66666666666
17,-40792.99999999999
18,-42674.33333333333
19,-43756.16666666666
20,-43428.666666666664
21,-43683.833333333336
22,-44556.833333333314
23,-41564.00000000001
24,-43834.333333333336
25,-44707.66666666668
26,-43843.16666666665
27,-38061.16666666666
28,-43377.50000000001
29,-43178.83333333332
30,-42776.99999999999
31,-44091.500000000015
32,-44106.16666666666
33,-42034.16666666665
34,-42086.833333333336
35,-44094.33333333332
36,-42048.83333333335
37,-40018.499999999985
38,-44341.50000000001
39,-43985.50000000001
40,-42070.33333333335
41,-41015.500000000015
42,-43346.83333333333
43,-43624.16666666665
44,-43859.83333333334
45,-40264.166666666686
46,-40083.66666666666
47,-43196.0
48,-43242.83333333334
49,-44057.00000000001
50,-43574.00000000001
51,-41667.83333333332
52,-42817.50000000001
53,-42632.83333333332
54,-42262.49999999999
55,-39689.33333333333
56,-42589.16666666666
57,-41264.0
58,-43919.83333333333
59,-42523.833333333336
60,-37136.49999999999
61,-40186.166666666664
62,-42519.833333333336
63,-40449.00000000001
64,-43617.333333333336
65,-43054.833333333314
66,-42219.66666666667
67,-43571.333333333336
68,-42809.33333333335
69,-42531.66666666666
70,-41296.83333333333
71,-41380.666666666686
72,-43095.333333333336
73,-42039.666666666664
74,-42314.33333333332
75,-43300.166666666664
76,-41947.66666666667
77,-43212.33333333334
78,-41277.166666666664
79,-42739.166666666664
80,-39210.833333333336
81,-43513.33333333335
82,-41222.66666666668
83,-44554.499999999985
84,-43203.666666666664
85,-42295.166666666664
86,-39304.66666666666
87,-42437.33333333334
88,-41901.99999999999
89,-42141.83333333335
90,-41263.333333333336
91,-39861.83333333334
92,-41354.5
93,-40818.833333333336
94,-44129.333333333336
95,-42433.333333333336
96,-41264.16666666667
97,-43024.00000000001
98,-41205.99999999999
99,-43301.99999999999
100,-41889.49999999999
101,-43181.49999999998
102,-43512.166666666664
103,-45185.33333333334
104,-43703.833333333336
105,-41617.0
106,-39994.33333333333
107,-41499.49999999999
108,-42760.333333333336
109,-40677.66666666666
110,-42666.333333333336
111,-41681.666666666664
112,-40780.16666666666
113,-40489.16666666668
114,-41816.83333333336
115,-39508.0
116,-38473.5
117,-41179.000000000015
118,-41205.333333333336
119,-42993.666666666664
120,-39794.5
121,-43306.0
122,-38569.66666666667
123,-43381.16666666668
124,-40928.0
125,-42795.166666666664
126,-43240.33333333332
127,-41471.33333333334
128,-41680.83333333333
129,-42044.83333333334
130,-43576.83333333332
131,-37465.833333333336
132,-40169.833333333336
133,-41384.0
134,-40989.83333333335
135,-41356.83333333334
136,-42098.999999999985
137,-41803.666666666664
138,-42626.666666666664
139,-42007.66666666667
140,-41321.50000000001
