,0
0,-55837.83790435393
1,-47873.678425153084
2,-52565.962345004096
3,-62115.462938825294
4,-46896.19809675217
5,-65031.03106514612
6,-53607.74865583579
7,-57549.10399226347
8,-59809.28414797783
9,-68147.58229025204
10,-71450.16797371705
11,-65762.60983506838
12,-73313.35453871885
13,-75732.64539674917
14,-73709.15647093455
15,-64927.90773240725
16,-70693.26084272066
17,-71994.84713490805
18,-73739.76946858564
19,-69422.53235379857
20,-29300.278901576996
21,-26876.26527281602
22,-28159.877376516662
23,-43286.14680568377
24,-44559.43885393936
25,-40290.14009606839
26,-37702.47567725181
27,-37878.94806381068
28,-40585.33526752392
29,-25451.778767863907
30,-32657.548417170845
31,-31343.406511187557
32,-29540.875311930973
33,-29967.401565114655
34,-29373.60628612836
35,-32409.22835755348
36,-43233.72442837556
37,-44722.029003103584
38,-50721.918863932304
39,-52730.75440434615
40,-56440.847532073654
41,-50639.213729461044
42,-48857.652621507645
43,-56660.49179156622
44,-57483.27708204589
45,-52767.27114685379
46,-50443.079767704025
47,-58445.710849324874
48,-57113.52246904377
49,-57021.1385749976
50,-59656.56478635471
51,-59119.25962980589
52,-59707.71288502217
53,-56504.85005720459
54,-58689.84708023072
55,-59878.465322176635
56,-56627.572587211944
57,-58186.93883399171
58,-57939.5532522599
59,-57703.67623611293
60,-56051.51024480662
61,-56999.51339522999
62,-62706.53627411525
63,-59353.37079024316
64,-58284.06416626772
65,-58870.88166085882
66,-53343.179503401116
67,-56257.4984401862
68,-54785.47968886296
69,-51908.445876558624
70,-56521.302016615875
71,-55263.8597647349
72,-53496.2918738524
73,-54508.54234637817
74,-52113.917588273696
75,-53802.172566254936
76,-56771.429986258336
77,-52059.26539214452
78,-52448.75612982112
79,-46374.5446950992
80,-44835.10416386525
81,-44914.521622161075
82,-48898.00228677196
83,-43949.84482137364
84,-43097.78433020909
85,-49554.63526157536
86,-49484.155658443764
87,-53334.44756464163
88,-56278.66038755576
89,-50729.57059077422
90,-50889.284739196315
91,-66798.11632122596
92,-44085.00413755576
93,-51613.868579308175
94,-55126.31605245671
95,-45593.519877831146
96,-45473.536976873875
97,-48694.78863469759
98,-81504.56410133837
99,-81781.01881217957
100,-85264.63983682792
101,-60151.001474102326
102,-79407.94793748856
103,-61421.52021892865
104,-67024.54965980849
105,-44700.73402567704
106,-58295.57757784924
107,-57379.775514741734
108,-44744.71299997966
109,-59772.742045621075
110,-62379.35401533047
111,-60999.4045003454
112,-63650.555232564606
113,-50791.40485298633
114,-56600.1941885948
115,-44911.598389685154
116,-51513.6923474272
117,-48791.304600357995
118,-58509.80108743905
119,-45652.15863392749
120,-45595.48124442497
121,-45929.28033409515
122,-43496.08468892177
123,-40234.35429481666
124,-42612.21592543521
125,-37033.20202565193
126,-37751.43634726604
127,-39224.29687680802
128,-37012.649794360004
129,-37207.37665081024
130,-40658.2421975533
131,-37801.95588568847
132,-37351.08154046534
133,-39615.33693599701
134,-39780.27925308546
135,-38599.2097581625
136,-39419.24911624193
137,-39248.660590171814
138,-38586.97322444122
139,-39713.43688865504
140,-41270.809761603676
141,-39139.83390027285
142,-40229.353895505265
143,-38368.64420549074
144,-37983.70852373043
145,-39392.806082506984
146,-40640.836357831955
147,-40200.43301888307
148,-38431.731550037846
149,-38713.16679275036
150,-39228.21792225041
151,-37088.11795006196
152,-38464.518326938145
153,-35184.87522900104
154,-39495.312029798835
155,-40640.28467172384
156,-37163.65678791205
157,-37819.672153055675
158,-36164.455250501625
159,-36065.92389321327
160,-38984.027782320976
161,-40359.592909038045
162,-38637.577750960976
163,-33847.88835513592
164,-39515.32779228687
165,-39061.036848624564
166,-36857.57992682855
167,-33987.38961338997
168,-37568.37326141198
169,-34470.91754349073
170,-34688.12034451962
171,-32101.262947440162
172,-33511.7029517293
173,-35293.73500535885
174,-33756.80392843485
175,-30400.959996740025
176,-36907.85372610886
177,-29648.685555775966
178,-35755.21430740754
179,-30737.322230637077
180,-35294.62845595677
181,-27845.201841870956
182,-37030.306871175766
183,-31746.122006376598
184,-36925.018097500004
185,-38117.07732321818
186,-27722.202564279232
187,-31853.099162062004
188,-29636.12841777008
189,-41133.207528670624
190,-43619.056186139576
191,-32235.485393404968
192,-41882.88237973055
193,-41884.0415641268
194,-41578.84962513051
195,-42378.4715072314
196,-31166.522435506195
197,-40761.44134934743
198,-41723.913928071655
199,-41045.244185944386
200,-29600.072493513435
201,-30194.101271629333
202,-37991.753804643944
203,-37321.51382430393
204,-39826.532074431576
205,-37883.20526073376
206,-29090.391021132473
207,-36451.97012752295
208,-37227.776706814766
209,-40032.77964238326
210,-38476.026260038205
211,-38193.3574168086
212,-38406.76670813562
213,-38266.626442710556
214,-31364.17041055362
215,-37241.01263689994
216,-34215.2181096077
217,-39113.76973513762
218,-28753.32534472148
219,-30204.91038298608
220,-39093.015740553536
221,-29175.06103523573
222,-30047.716454466186
223,-37372.3222117424
224,-38200.1304941376
225,-38360.1537477374
226,-36895.29124134779
227,-38203.098504265145
228,-26975.760671655342
229,-28391.843546390544
230,-26450.50649189949
231,-31143.013854861274
232,-39322.92533012233
